time,open,high,low,close,EMA,SMMA,Volume,Bollinger Bars Wicks (Open),Bollinger Bars Wicks (High,Bollinger Bars Wicks (Low),Bollinger Bars Wicks (Close),Bollinger Bars Body (Open),Bollinger Bars Body (High,Bollinger Bars Body (Low),Bollinger Bars Body (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,OnBalanceVolume,ATR
1729544400,4.54,4.55,4.5,4.55,4.561946862130045,4.561455307900402,35159,4.55,4.55,4.5,4.5,4.54,4.55,4.5,4.55,52.37197687152376,59.540980281873864,NaN,NaN,NaN,NaN,-0.0190808517848675,0.03796256320506686,0.05704341498993436,-13408064,0.07114538959243714
1729630800,4.54,4.54,4.52,4.54,4.5575574897040365,4.55839026391463,11508,4.54,4.54,4.52,4.52,4.54,4.54,4.52,4.54,51.52534142650448,58.65902660000985,NaN,NaN,NaN,NaN,-0.01895025239997298,0.033355599489968135,0.052305851889941114,-13419572,0.06820643319297737
1729717200,4.53,4.54,4.53,4.53,4.552045991763229,4.554334511926826,13244,4.54,4.54,4.53,4.53,4.53,4.54,4.53,4.53,50.64366886964107,57.62911425398695,NaN,NaN,NaN,NaN,-0.018990030796587683,0.028568313394206513,0.047558344190794195,-13432816,0.0640488308220504
1729803600,4.52,4.52,4.49,4.49,4.539636793410583,4.5451438673658515,9998,4.52,4.52,4.49,4.49,4.52,4.52,4.49,4.49,47.166954930033995,56.35086519799211,NaN,NaN,NaN,NaN,-0.02100576122965992,0.021301142653719296,0.04230690388337922,-13442814,0.062331057191903946
1730149200,4.47,4.52,4.46,4.52,4.535709434728466,4.541551886313587,31290,4.52,4.52,4.46,4.46,4.47,4.52,4.46,4.52,49.942564290010964,55.09377535385759,NaN,NaN,NaN,NaN,-0.019639199352386436,0.017757904692896176,0.03739710404528261,-13411524,0.062164553106767925
1730235600,4.51,4.53,4.48,4.53,4.534567547782773,4.5399016168402175,17640,4.53,4.53,4.48,4.48,4.51,4.53,4.48,4.53,50.86911819069723,53.53095876838306,NaN,NaN,NaN,NaN,-0.017455911181049263,0.015577215068971029,0.03303312625002029,-13393884,0.061295656456284486
1730322000,4.53,4.54,4.5,4.52,4.531654038226218,4.537058528720186,28661,4.54,4.54,4.5,4.5,4.53,4.54,4.5,4.52,49.87492893867881,52.23299227559462,NaN,NaN,NaN,NaN,-0.016111734088670095,0.012893458639182676,0.02900519272785277,-13422545,0.05977453813797846
1730408400,4.5,4.5,4.47,4.47,4.519323230580975,4.527478738903016,63563,4.5,4.5,4.47,4.47,4.5,4.5,4.47,4.47,45.12599297287325,51.31625056973875,NaN,NaN,NaN,NaN,-0.01787994420027686,0.006655262477506696,0.024535206677783555,-13486108,0.05907635684240855
1730667600,4.47,4.48,4.47,4.47,4.50945858446478,4.519267490488299,20232,4.48,4.48,4.47,4.47,4.47,4.48,4.47,4.47,45.12599297287325,50.399508863882865,NaN,NaN,NaN,NaN,-0.018274610618046715,0.0016919434052251603,0.019966554023271875,-13486108,0.05557090278223655
1730754000,4.46,4.52,4.46,4.52,4.511566867571824,4.519372134704256,28254,4.52,4.52,4.46,4.46,4.46,4.52,4.46,4.52,50.58305945511815,49.872557621044486,NaN,NaN,NaN,NaN,-0.01455514266765336,0.0017726256887051761,0.016327768356358536,-13457854,0.055887266869219625
1730840400,4.52,4.52,4.5,4.52,4.51325349405746,4.519461829746506,332311,4.52,4.52,4.5,4.5,4.52,4.52,4.5,4.52,50.58305945511816,49.99231570241539,NaN,NaN,NaN,NaN,-0.011609704731952077,0.0018156374414184384,0.013425342173370516,-13457854,0.053323890664275335
1730926800,4.52,4.52,4.51,4.52,4.514602795245968,4.519538711211291,45322,4.52,4.52,4.51,4.51,4.52,4.52,4.51,4.52,50.58305945511816,49.67917779030832,NaN,NaN,NaN,NaN,-0.009277357672216777,0.0018286450830995449,0.011106002755316322,-13457854,0.05022932704539851
1731013200,4.52,4.53,4.46,4.53,4.517682236196774,4.521033181038249,652707,4.53,4.53,4.46,4.46,4.52,4.53,4.46,4.53,51.78089113747333,49.89632755979918,NaN,NaN,NaN,NaN,-0.006792227969955584,0.002615717792871841,0.009407945762827425,-12805147,0.051641517970727205
1731272400,4.53,4.53,4.49,4.53,4.520145788957419,4.522314155175643,14971,4.53,4.53,4.49,4.49,4.53,4.53,4.49,4.53,51.78089113747333,49.85410715022415,NaN,NaN,NaN,NaN,-0.004964307449432579,0.0032025614510367006,0.00816686890046928,-12805147,0.05080998097281812
1731358800,4.52,4.53,4.49,4.5,4.516116631165935,4.51912641872198,36814,4.53,4.53,4.49,4.49,4.52,4.53,4.49,4.5,47.75356875106608,49.524220855905746,NaN,NaN,NaN,NaN,-0.00554735077962312,0.00123268042594038,0.0067800312055635,-12841961,0.05003783947475969
